name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%,NCAA_FTA
CJ Watson,watsocj01,1263,0.373,0.777,0.396,516
Nick Young,youngni01,2764,0.376,0.764,0.368,373
Thaddeus Young,youngth01,1459,0.333,0.743,0.419,70
Ryan Anderson,anderry01,3491,0.38,0.841,0.396,328
DJ Augustin,augusdj01,2930,0.379,0.808,0.402,400
Jerryd Bayless,bayleje01,1382,0.361,0.839,0.407,223
Michael Beasley,beaslmi01,835,0.349,0.774,0.379,279
Mario Chalmers,chalmma01,2153,0.351,0.767,0.419,356
Eric Gordon,gordoer01,4201,0.37,0.834,0.337,277
George Hill,hillge01,2499,0.384,0.785,0.404,582
Courtney Lee,leeco01,2259,0.388,0.817,0.401,476
Brook Lopez,lopezbr01,1580,0.341,0.764,0.143,259
Kevin Love,loveke01,3302,0.37,0.767,0.354,258
OJ Mayo,mayooj01,2287,0.373,0.803,0.409,152
Anthony Morrow,morroan01,1937,0.417,0.867,0.421,226
Derrick Rose,rosede01,1541,0.304,0.712,0.337,205
Brandon Rush,rushbr01,1300,0.402,0.733,0.435,273
Anthony Tolliver,tollian01,2306,0.373,0.671,0.333,410
Russell Westbrook,westbru01,3208,0.305,0.685,0.354,181
Chase Budinger,budinch01,1172,0.352,0.782,0.383,395
DeMarre Carroll,carrode01,1839,0.358,0.603,0.281,466
Darren Collison,collida01,1610,0.394,0.851,0.435,410
Stephen Curry,curryst01,5739,0.435,0.876,0.412,547
DeMar DeRozan,derozde01,1208,0.282,0.646,0.167,147
Toney Douglas,douglto01,1256,0.354,0.802,0.376,576
Wayne Ellington,ellinwa01,2689,0.378,0.809,0.397,288
Tyreke Evans,evansty01,1548,0.323,0.711,0.274,194
Danny Green,greenda02,3205,0.4,0.845,0.375,239
James Harden,hardeja01,6394,0.363,0.755,0.376,494
Jrue Holiday,holidjr01,2616,0.354,0.726,0.307,62
Brandon Jennings,jennibr01,2648,0.345,0.771,0.333,35
James Johnson,johnsja01,1046,0.31,0.792,0.37,443
Ty Lawson,lawsoty01,1319,0.359,0.78,0.403,432
Wesley Matthews,matthwe02,4367,0.381,0.799,0.341,687
Jodie Meeks,meeksjo01,2078,0.373,0.89,0.386,336
Jeff Teague,teaguje01,1886,0.356,0.812,0.421,361
Garrett Temple,templga01,1626,0.347,0.783,0.278,258
Marcus Thornton,thornma01,2051,0.358,0.771,0.382,315
Al-Farouq Aminu,aminual01,1597,0.335,0.687,0.238,351
Luke Babbitt,babbilu01,979,0.402,0.893,0.421,393
Eric Bledsoe,bledser01,2027,0.336,0.667,0.383,123
Avery Bradley,bradlav01,2042,0.364,0.545,0.375,66
DeMarcus Cousins,couside01,1031,0.332,0.604,0.167,268
Jordan Crawford,crawfjo02,1041,0.317,0.765,0.384,217
Paul George,georgpa01,4172,0.381,0.803,0.396,264
Blake Griffin,griffbl01,1223,0.333,0.589,0.3,521
Gordon Hayward,haywago01,2327,0.366,0.824,0.369,340
